"","gene","len"
"1","SPAC1782.10c",1.216
"2","SPBC1711.13",1.439
"3","SPSNRNA.03",0.256
"4","SPNCRNA.1231",1.219
"5","SPNCRNA.98",0.255
"6","SPBC106.16",1.609
"7","SPAC26F1.06",0.781
"8","SPAC2F3.11",1.442
"9","SPAC2G11.07c",2.153
"10","SPBC13G1.09",1.722
"11","SPSNORNA.20",0.326
"12","SPNCRNA.906",0.389
"13","SPNCRNA.82",0.399
"14","SPNCRNA.727",0.636
"15","SPMIT.08",0.684
"16","SPSNRNA.07",0.255
"17","SPBC23G7.15c",0.529
"18","SPBC18E5.06",0.523
"19","SPAC6G10.11c",0.528
"20","SPAC823.17",0.371
"21","SPBC119.02",1.085
"22","SPNCRNA.845",0.538
"23","SPCC1183.04c",1.888
"24","SPAC8C9.03",2.665
"25","SPMIT.05",3.69
"26","SPAC16C9.05",1.641
"27","SPAC25G10.06",0.451
"28","SPBC32H8.12c",1.833
"29","SPAC23H3.09c",1.924
"30","SPBC3B9.07c",1.118
"31","SPNCRNA.730",2.478
"32","SPRRNA.01",2.822
"33","SPAC17G6.06",0.75
"34","SPCC1739.09c",0.996
"35","SPAC4H3.11c",2.964
"36","SPNCRNA.1436",0.495
"37","SPSNORNA.47",0.222
"38","SPNCRNA.814",0.487
"39","SPSNORNA.50",0.211
"40","SPAC2C4.16c",0.711
"41","SPCC584.11c",2.298
"42","SPAC22H12.04c",0.95
"43","SPAC328.10c",1.048
"44","SPBC16C6.11",0.589
"45","SPBC21C3.08c",1.758
"46","SPAC4F10.14c",0.784
"47","SPBC577.02",0.68
"48","SPAC26H5.10c",1.049
"49","SPCC16A11.14",1.514
"50","SPNCRNA.1597",2.977
"51","SPSNORNA.33",0.187
"52","SPBC56F2.02",0.749
"53","SPSNORNA.32",0.19
"54","SPAC1805.10",3.796
"55","SPAC11E3.15",0.652
"56","SPAC6G9.02c",2.262
"57","SPCC31H12.04c",0.946
"58","SPMIT.06",2.424
"59","SPBC1709.19c",1.16
"60","SPAC589.10c",0.733
"61","SPAC343.01c",2.698
"62","SPAC1805.13",0.851
"63","SPBTRNALYS.09",0.083
"64","SPAC1B3.02c",1.484
"65","SPBC4F6.18c",1.603
"66","SPAC13G6.02c",1.791
"67","SPCP31B10.07",2.625
"68","SPAC23C11.02c",0.514
"69","SPBC17A3.04c",3.112
"70","SPAC5D6.13",2.155
"71","SPBC16G5.14c",1.129
"72","SPAC1610.01",1.038
"73","SPBC646.11",2.025
"74","SPAC16E8.06c",1.564
"75","SPSNORNA.34",0.172
"76","SPBC4.07c",1.654
"77","SPAC56F8.05c",1.621
"78","SPAC1071.10c",4.535
"79","SPBC3D6.15",0.491
"80","SPCC320.11c",1.227
"81","SPAC12B10.04",1.626
"82","SPAP14E8.05c",0.663
"83","SPCC5E4.07",0.639
"84","SPAC12G12.08",1.444
"85","SPBC2D10.10c",1.309
"86","SPNCRNA.128",0.893
"87","SPAC3G6.13c",0.428
"88","SPCC23B6.01c",2.59
"89","SPAC4A8.13c",1.211
"90","SPAC922.04",0.633
"91","SPAC4H3.10c",1.903
"92","SPAC4G9.16c",0.784
"93","SPNCRNA.53",1.852
"94","SPAC27E2.11c",2.15
